"company_name","portfolio_id","user_id","share_holder_id","company_id","sector_id","company_type_id","sebon_commission","broker_commission","DP_charge","capital_gain","type","quantity","quantity_left","actual_price","date","price","is_WACC","WACC_price","wacc_quantity","portfolio_category_id","created_by","created_date","ticker","balance","exclude_commission","sell_capital_gain","transaction_type","WACC_price1"
"Unilever Nepal Limited","1","295","300","78","8","3","54.74","1350.35","25",NULL,"Buy","20",NULL,"364960","2022-05-31","18248",NULL,"18319.5048","20","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","18319.5048"
"Nepal Investment Bank Limited","2","295","300","242","1","3","22.19","547.45","25",NULL,"Buy","540",NULL,"147960","2022-06-09","274",NULL,"275.1011962963","540","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","275.1011962963"
"Mega Bank Nepal Ltd.","3","295","300","222","1","3","6.81","181.60","25",NULL,"Buy","200",NULL,"45400","2022-06-10","227",NULL,"228.06705","200","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","228.06705"
"Mega Bank Nepal Ltd.","4","295","300","222","1","3","46.31","1142.26",NULL,NULL,"Buy","1360",NULL,"308720","2022-06-10","227",NULL,"227.89870641026","1560","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","227.89870641026"
"Nepal Doorsanchar Comapany Limited","5","295","300","88","15","3","74.50","1837.61","25",NULL,"Buy","550",NULL,"496650","2022-06-30","903",NULL,"906.52200454545","550","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","906.52200454545"
"Shikhar Insurance Co. Ltd.","6","295","300","66","7","3","27.70","683.35","25",NULL,"Buy","230",NULL,"184690","2022-06-30","803",NULL,"806.20024565217","230","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","806.20024565217"
"Shikhar Insurance Co. Ltd.","7","295","300","66","7","3","10.00","246.57","25",NULL,"Buy","80",NULL,"66640","2022-07-03","833",NULL,"814.02458225806","310","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","814.02458225806"
"Unilever Nepal Limited","8","295","300","78","8","3","27.01","666.18","25",NULL,"Buy","10",NULL,"180050","2022-07-11","18005",NULL,"18238.609616667","30","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","18238.609616667"
"Nepal Doorsanchar Comapany Limited","9","295","300","88","15","3","12.91","318.57","25",NULL,"Buy","100",NULL,"86100","2022-07-12","861",NULL,"900.0670576923","650","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","900.0670576923"
"Nepal Doorsanchar Comapany Limited","10","295","300","88","15","3","11.49","283.38",NULL,NULL,"Buy","90",NULL,"76590","2022-07-12","851",NULL,"894.49791756756","740","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","894.49791756756"
"Nepal Doorsanchar Comapany Limited","11","295","300","88","15","3","2.58","68.72",NULL,NULL,"Buy","20",NULL,"17180","2022-07-12","859",NULL,"893.6575736842","760","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","893.6575736842"
"Nepal Doorsanchar Comapany Limited","12","295","300","88","15","3","10.32","254.56",NULL,NULL,"Buy","80",NULL,"68800","2022-07-12","860",NULL,"890.76742380951","840","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","890.76742380951"
"Mega Bank Nepal Ltd.","13","295","300","222","1","3",NULL,NULL,NULL,NULL,"Buy","62",NULL,"6200","2023-01-20","100",NULL,"223.00985326757","1622","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Bonus","219.18741183724"
"Nepal Investment Bank Limited","14","295","300","242","1","3",NULL,NULL,NULL,NULL,"Buy","21",NULL,"2100","2023-01-31","100",NULL,"268.54660606061","561","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Bonus","264.80329055259"
